epoch,train_loss,train_f1_macro,train_f1_weighted,val_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_hamming
1,1.746877698873987,0.27336916868138617,0.3390827429340631,1.5798307783675916,0.4789272030651341,0.4229278445170236,0.46548524527539037,0.5210727969348659
2,1.3622494610596676,0.4230803525682022,0.5170486859575938,1.3506353208512971,0.5057471264367817,0.43188982236989426,0.47456657617078923,0.4942528735632184
3,1.1063109447761459,0.5252125966592837,0.6247291241923133,1.313346626180591,0.5593869731800766,0.5442292186236072,0.5552465918376328,0.44061302681992337
4,0.8808480935411996,0.5904820102150924,0.6939322212182588,1.5858700966293162,0.5517241379310345,0.5494550129761397,0.5558803275353921,0.4482758620689655
5,0.6794793261151736,0.6689328761444782,0.7771820829394849,1.4806117112889434,0.5555555555555556,0.5335887403811105,0.5467536846533638,0.4444444444444444
6,0.4824488990699404,0.7383571718600984,0.8499570749136177,1.943257774367477,0.5363984674329502,0.5203034480231374,0.5317899398306867,0.46360153256704983
7,0.37377380071600685,0.7693687762259316,0.8827566615534833,1.9227899927081484,0.5555555555555556,0.5462686285301132,0.5552480978010209,0.4444444444444444
8,0.2741107909407999,0.7986826604897801,0.9128471939848899,2.1858679814772173,0.5708812260536399,0.5642616692406791,0.5695322848616255,0.42911877394636017
9,0.18739334221289425,0.823359636624043,0.9426740135817391,2.3804467103698035,0.5593869731800766,0.551193140856854,0.5596690099286198,0.44061302681992337
10,0.15849393019120075,0.8346444661662379,0.9533434474443928,2.439242456898545,0.5708812260536399,0.5678805286921829,0.5710506410141912,0.42911877394636017
