epoch,train_loss,train_f1_macro,train_f1_weighted,val_f1_macro,val_f1_weighted,val_hamming
1,0.24668756204432454,0.4833206988217674,0.5731824462133143,0.4933194189029887,0.492258436634789,0.13885041551246538
2,0.15425407781034112,0.7209405920059928,0.7710082881964913,0.4649051425738542,0.49103548263824337,0.1433518005540166
3,0.10148863669843185,0.8218865310539227,0.8616569534881793,0.5044991594643633,0.517573153730144,0.13988919667590027
4,0.06662553223103501,0.8815219190749448,0.9172585354433798,0.4989006037088677,0.5111179446143505,0.14369806094182824
5,0.04915099496701344,0.915153896498943,0.9406147262423513,0.49567686288567825,0.5130319854666067,0.1440443213296399
6,0.037099465090585385,0.9440852590616866,0.9573875846318936,0.5151088723561905,0.5183659498409366,0.1450831024930748
7,0.030397634677328644,0.9548234273688547,0.9631108171189815,0.48478977532024153,0.47939230797465515,0.15685595567867036
8,0.02567993645926434,0.9601857910281402,0.9695356898824249,0.5088361688928948,0.5285784496488737,0.1471606648199446
9,0.022915145564408542,0.9670841393502014,0.9738545279654008,0.513407980803792,0.5346997128770631,0.14231301939058172
10,0.019963245084610667,0.9696539223479684,0.9753406512949488,0.45997865204863086,0.4734808745411324,0.16135734072022162
